TOTAL ELEMENTS: 
2048
AVL search total time: series 1, i: 10, time: 0.15729200839996338}, IS_SORTED: true
AVL search avg time: series 1, i: 10, time: 0.00015729200839996338}, IS_SORTED: true
BST search total time: series 1, i: 10, time: 4.708999991416931}, IS_SORTED: true
BST search avg time: series 1, i: 10, time: 0.004708999991416931}, IS_SORTED: true
AVL search total time: series 1, i: 11, time: 0.15641701221466064}, IS_SORTED: true
AVL search avg time: series 1, i: 11, time: 0.00015641701221466066}, IS_SORTED: true
BST search total time: series 1, i: 11, time: 4.619834005832672}, IS_SORTED: true
BST search avg time: series 1, i: 11, time: 0.004619834005832672}, IS_SORTED: true
AVL search total time: series 1, i: 12, time: 0.15933305025100708}, IS_SORTED: true
AVL search avg time: series 1, i: 12, time: 0.00015933305025100708}, IS_SORTED: true
BST search total time: series 1, i: 12, time: 4.583750009536743}, IS_SORTED: true
BST search avg time: series 1, i: 12, time: 0.004583750009536743}, IS_SORTED: true
AVL search total time: series 1, i: 13, time: 0.16029196977615356}, IS_SORTED: true
AVL search avg time: series 1, i: 13, time: 0.00016029196977615357}, IS_SORTED: true
BST search total time: series 1, i: 13, time: 4.545750021934509}, IS_SORTED: true
BST search avg time: series 1, i: 13, time: 0.004545750021934509}, IS_SORTED: true
AVL search total time: series 1, i: 14, time: 0.16866600513458252}, IS_SORTED: true
AVL search avg time: series 1, i: 14, time: 0.00016866600513458253}, IS_SORTED: true
BST search total time: series 1, i: 14, time: 4.629791975021362}, IS_SORTED: true
BST search avg time: series 1, i: 14, time: 0.0046297919750213625}, IS_SORTED: true
AVL search total time: series 1, i: 15, time: 0.15724998712539673}, IS_SORTED: true
AVL search avg time: series 1, i: 15, time: 0.00015724998712539673}, IS_SORTED: true
BST search total time: series 1, i: 15, time: 4.732083022594452}, IS_SORTED: true
BST search avg time: series 1, i: 15, time: 0.004732083022594452}, IS_SORTED: true
AVL search total time: series 1, i: 16, time: 0.15704196691513062}, IS_SORTED: true
AVL search avg time: series 1, i: 16, time: 0.0001570419669151306}, IS_SORTED: true
BST search total time: series 1, i: 16, time: 4.635334014892578}, IS_SORTED: true
BST search avg time: series 1, i: 16, time: 0.004635334014892578}, IS_SORTED: true
AVL search total time: series 1, i: 17, time: 0.1559160351753235}, IS_SORTED: true
AVL search avg time: series 1, i: 17, time: 0.00015591603517532349}, IS_SORTED: true
BST search total time: series 1, i: 17, time: 4.645291984081268}, IS_SORTED: true
BST search avg time: series 1, i: 17, time: 0.004645291984081268}, IS_SORTED: true
AVL search total time: series 1, i: 18, time: 0.1629590392112732}, IS_SORTED: true
AVL search avg time: series 1, i: 18, time: 0.00016295903921127318}, IS_SORTED: true
BST search total time: series 1, i: 18, time: 4.0469160079956055}, IS_SORTED: true
BST search avg time: series 1, i: 18, time: 0.004046916007995605}, IS_SORTED: true
AVL search total time: series 1, i: 19, time: 0.358165979385376}, IS_SORTED: true
AVL search avg time: series 1, i: 19, time: 0.000358165979385376}, IS_SORTED: true
BST search total time: series 1, i: 19, time: 4.0825000405311584}, IS_SORTED: true
BST search avg time: series 1, i: 19, time: 0.0040825000405311585}, IS_SORTED: true
AVL delete total time: series 1, i: 0, time: 4.366041004657745}, IS_SORTED: false 
AVL delete avg time: series 1, i: 0, time: 0.0008109579682350159}, IS_SORTED: false
BST delete total time: series 1, i: 0, time: 1.0305419564247131}, IS_SORTED: false
BST delete avg time: series 1, i: 0, time: 0.0008698340058326721}, IS_SORTED: false
AVL delete total time: series 1, i: 1, time: 0.9050840139389038}, IS_SORTED: false 
AVL delete avg time: series 1, i: 1, time: 0.0004749169945716858}, IS_SORTED: false
BST delete total time: series 1, i: 1, time: 0.598708987236023}, IS_SORTED: false
BST delete avg time: series 1, i: 1, time: 0.0008812500238418579}, IS_SORTED: false
AVL delete total time: series 1, i: 2, time: 0.6947920322418213}, IS_SORTED: false 
AVL delete avg time: series 1, i: 2, time: 0.0007520419955253601}, IS_SORTED: false
BST delete total time: series 1, i: 2, time: 0.3138750195503235}, IS_SORTED: false
BST delete avg time: series 1, i: 2, time: 0.00023670798540115356}, IS_SORTED: false
AVL delete total time: series 1, i: 3, time: 0.8659169673919678}, IS_SORTED: false 
AVL delete avg time: series 1, i: 3, time: 0.00021804100275039673}, IS_SORTED: false
BST delete total time: series 1, i: 3, time: 0.3083750009536743}, IS_SORTED: false
BST delete avg time: series 1, i: 3, time: 0.0002266249656677246}, IS_SORTED: false
AVL delete total time: series 1, i: 4, time: 0.5825000405311584}, IS_SORTED: false 
AVL delete avg time: series 1, i: 4, time: 0.00019666701555252076}, IS_SORTED: false
